Frase,Classificazione GPT4o,Deep Seek R1,DEEP SEEK R1 (controllo),QWEN 2.5 Max
The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.,ADDRESSING SOCIAL PROBLEMS IS TREATING AN ILLNESS,DEMOCRACY IS CURE,ADDRESSING SOCIAL PROBLEMS IS TREATING AN ILLNESS,DEMOCRACY IS A CURE
Guns cure everything.,GUNS ARE MAGICAL,GUNS IS CURE,GUNS ARE MAGICAL,GUNS ARE CURES
"I agree with Litman's implication that poverty is a cure for congestion, but I don't think it is an appropriate one.",POVERTY IS A DISEASE,POVERTY IS CURE,POVERTY IS A DISEASE,POVERTY IS A CURE
"Multiply Huxley's formula by countless politicians endlessly reciting ""low taxes create economic growth,"" in innumerable elections for offices at every level for the last 30 years, supported in turn by a legion of corporately sponsored think tanks cranking out selective  ""documentation"" , and we have the Received Wisdom of 21st century American politics: Low taxes cure anything that might ail us.",CAUSES ARE FORCES,TAXES IS CURE,ADDRESSING ECONOMIC PROBLEMS IS TREATING AN ILLNESS,LOW TAXES ARE A CURE
There is a tendency to think that wealth is a cure for one's barbaric and primitive tendencies when it merely just mask it from the outside world.,WEALTH IS PROTECTION AGAINST HARM,WEALTH IS CURE,WEALTH IS A RESOURCE,WEALTH IS A RESOURCE
It may seem a little odd for prison staff to be looking at their prisoners as customers but they are the direct consumers of our service explained Mr Stephen Twinn prison director,INSTITUTION IS A BUSINESS,PRISONERS IS CUSTOMERS,GOVERNMENT IS A BUSINESS,PRISONERS ARE CUSTOMERS
"But in general people greatly over-do the caution and doubt thing, to the great damage of democracy, my main point in #24 above.",NEGATIVE EVALUATION OF GOVERNMENT ACTIVITY IS DISGUST,DEMOCRACY IS DAMAGE,DEMOCRACY IS A BUILDING,DEMOCRACY IS A PLANT
"But I propose the AMaxT entirely to limit the economic damage of taxation, a goal you must consider even if you think it's ""fair"" to take every cent of a rich person's income.",TAXATION IS CAUSING HARM,TAXATION IS DAMAGE,TAXATION IS PHYSICAL HARM,TAXATION IS CAUSING HARM
"I promise, the junior-level civil servants and military types know very, very well how the bureaucracy damages the entire system.",BUREAUCRACY IS A MACHINE,BUREAUCRACY IS DAMAGES,NONFUNCTIONAL BUREAUCRACY IS A BROKEN MACHINE,BUREAUCRACY IS A MACHINE 
"Heinous allegations of abuse were charged against some tasked with caring for the most helpless, education proponents couldn't agree on the best way to teach local students, and the death of a bureaucracy left City officials scrambling to preserve their ability to spruce up the downtown.",ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES,BUREAUCRACY IS DEATH,BUREAUCRACY IS AN ORGANISM,DEATH OF BUREAUCRACY
"That brain freeze moment was widely regarded as the death of Perry's campaign for the presidency, yet his ad people are turning it around and trying to paint it as a positive.",LOSING AN ELECTION IS LOSING A WAR,CAMPAIGN IS DEATH,ELECTION IS WAR,LOSING AN ELECTION IS LOSING A WAR
"Post-modern grassroots movements identify modernity with the death of democracy, not its flourishing.",CAUSED CHANGE OF STATE IS CAUSED CHANGE OF LOCATION,DEMOCRACY IS DEATH,DEMOCRACY IS A PLANT,DEMOCRACY IS A PLANT
"To paraphrase Mark Twain, rumors of the death of guns have been greatly exaggerated.",GUNS ARE LIVING ENTITIES,GUNS IS DEATH,GUNS ARE OBJECTS OF WORSHIP,GUNS ARE OBJECTS OF WORSHIP 
"The only person in perhaps seven hundred years who has truly walked in the steps of St. Paul, and his Lord, Jesus, is St. Francis, who died a miserable death of poverty, giving his life to the well being of others, whomever they were.",POVERTY IS A DISEASE,POVERTY IS DEATH,POVERTY IS A DISEASE,POVERTY IS A DISEASE
(The other gun debate... best choice for home defense!),GUN DEBATE IS A LIVING ENTITY,GUN IS DEBATE,GUN DEBATE IS A LIVING ENTITY,GUN CONTROL IS PHYSICAL RESTRAINT
"BigBut: Over time, the 10Percenters Wealth decreases as they pay off the Debt and thus their Net Worth increases.",DECREASE IN QUANTITY IS DOWNWARD MOTION,WEALTH IS DECREASES,WEALTH IS A SUBSTANCE,WEALTH IS A SUBSTANCE
"In these ways, AIDS reinforces gender inequities, deepens household poverty and threatens future generations (2004 Report on the Global AIDS Epidemic, UNAIDS).",POVERTY IS A DISEASE,POVERTY IS DEEPENS,AMOUNT OF POVERTY IS SIZE,POVERTY IS A DISEASE
"The unqualified arrogance of last week's letter from Michael Crowley was astounding (""Democracy Defeats Terrorism,"" issue of Dec. 1-7).",NEGATIVE EVALUATION OF GOVERNMENT ACTIVITY IS DISGUST,DEMOCRACY IS DEFEATS,DEMOCRACY IS WAR,DEMOCRACY IS A BATTLEFIELD
"Poverty and food security are heterogeneous phenomena in most countries; types and <<depth>> of [[poverty]], measured in different ways, vary between and within countries and regions.",AMOUNT OF POVERTY IS SIZE,POVERTY IS DEPTH,AMOUNT OF POVERTY IS SIZE,POVERTY IS A DISEASE
"Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.",POVERTY IS A DISEASE,POVERTY IS DEPTH,AMOUNT OF POVERTY IS SIZE,POVERTY IS A DISEASE
"Defining a poverty line is necessary if we are going to analyze not only the incidence of poverty, but also the depth of poverty (how poor are the poor?) and the duration of poverty (how long are the poor, poor?)",BEING IMPOVERISHED IS BEING IN A BOUNDED REGION,POVERTY IS DEPTH,AMOUNT OF POVERTY IS SIZE,POVERTY IS A DISEASE
"Obviously slavery is wrong, which is why we need to seriously reconsider our current depth of taxation.",TAXATION IS SLAVERY,TAXATION IS DEPTH,TAXATION IS A BURDEN,TAXATION IS SLAVERY
"Many Americans are falling deeper into depths of poverty The economy may be expanding, but the percentage of Americans earning less than half the U.S. Census threshold for poverty is at a 32-year high, and even those just above the threshold are in danger of slipping.",BECOMING IMPOVERISHED IS MOVING DOWNWARDS,POVERTY IS DEPTHS,BEING IMPOVERISHED IS BEING AT A LOW LOCATION,POVERTY IS A DISEASE
Poverty destroys because it is invisible.,POVERTY IS A DISEASE,POVERTY IS DESTROYS,POVERTY IS A DISEASE,POVERTY IS INVISIBLE 
"AP: I think the unchecked power of the corporations over the last 100 years has played a key role in the destruction of democracy in many, many areas.",CORPORATIONS ARE PEOPLE,DEMOCRACY IS DESTRUCTION,DEMOCRACY IS A BUILDING,DEMOCRACY IS A BUILDING
"While nonâ€“gun advocates may strain to see the link between prohibiting the destruction of guns and defending the Second Amendment, it makes sense when you consider the attitude of the NRA and its supporters: any encroachment on gun rights--defined as the right to own any firearm, at any time--is a threat to all gun rights.",GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS TRAMPLING ON AN OBJECT,GUNS IS DESTRUCTION,GUN RIGHTS ARE VALUABLE POSSESSIONS,GUN RIGHTS ARE VALUABLE POSSESSIONS
"A lifelong socialist, King saw poverty and racism intrinsically linked and as thus, gave a convincing argument for democratic socialism being the only hope for the destruction of poverty and racism in America, stating:",POVERTY IS A DISEASE,POVERTY IS DESTRUCTION,POVERTY IS A DISEASE,DEMOCRACY IS A BUILDING
The devastation of democracy is clearly evident in the historical record.,DEMOCRACY IS A FACADE,DEMOCRACY IS DEVASTATION,DEMOCRACY IS A BUILDING,DEMOCRACY IS A BUILDING 
There are many proven strategies to guard your wealth against the devastation of taxation.,TAXATION IS CAUSING HARM,TAXATION IS DEVASTATION,TAXATION IS THEFT,WEALTH IS A RESOURCE
"A bearish trend that seeks to re-calibrate the bullish mindset through devastation of wealth In either case, the goal is the same: To create a dislocation in market psychology that yields the ammunition necessary to take on the convergence of technical resistance points we are currently facing.",MARKET IS A NATURAL PROCESS,WEALTH IS DEVASTATION,WEALTH IS A RESOURCE,WEALTH IS A RESOURCE 
"Even so, given our firsthand observations, we strongly believe that the diagnosis of Bolivian democracy as in danger and eroding is preemptive and unfounded.",DEMOCRACY IS EROSION,DEMOCRACY IS DIAGNOSIS,GOVERNMENT IS A PATIENT,DEMOCRACY IS A BODY 
"Once this dynamic takes hold, real estate turns into a wealth disaster.",WEALTH IS A RESOURCE,WEALTH IS DISASTER,WEALTH IS A RESOURCE,WEALTH IS A RESOURCE
But several of them want to characterize that as a disintegration of bureaucracy.,NONFUNCTIONAL BUREAUCRACY IS A BROKEN MACHINE,BUREAUCRACY IS DISINTEGRATION,NONFUNCTIONAL BUREAUCRACY IS A BROKEN MACHINE,BUREAUCRACY IS A MACHINE
"Democracy hasn't saved many of these counties, so why must the United States continue to persist in democracy domination of the world?",DEMOCRACY IS A FACADE,DEMOCRACY IS DOMINATION,GOVERNMENT IS A SLAVE MASTER,DEMOCRACY IS A BUILDING 
Following the 2010 Congressional election domination by the Republicans it seemed all but likely that the trend would continue over the next few yeas and Obama would likely be defeated.,ELECTION IS A RACE,ELECTION IS DOMINATION,ELECTION IS WAR,ELECTION IS A RACE
"Well, let me say first, that I think we're all advocating for change; we all want to change the status quo, which is George Bush and the Republican domination of Washington for so many years.",PROGRESS IS FORWARD MOTION ALONG A PATH,REPUBLICAN IS DOMINATION,ELECTION IS WAR,POWER IS CENTRALITY
For you financial domination equals tax domination.,TAXATION IS DOMINATION,TAX IS DOMINATION,TAXATION IS SLAVERY,FINANCIAL DOMINATION IS TAX DOMINATION
"The guns are supposed to be checked in, but once you open the gun door, well, shit happens.",GUN CONTROL IS PHYSICAL RESTRAINT,GUN IS DOOR,GUNS ARE OBJECTS,GUNS ARE OBJECTS OF WORSHIP
"It was not a person the Occupy Wilmington group mourned, but what they call the downfall of democracy.",DEMOCRACY IS A FACADE,DEMOCRACY IS DOWNFALL,DEMOCRACY IS A BUILDING,DEMOCRACY IS A BUILDING
Understanding the drama of democracy: looking back at the 7th international conference in Interpretive Policy Analysis,UNDERSTANDING IS SEEING,DEMOCRACY IS DRAMA,DEMOCRACY IS A STAGE,DEMOCRACY IS A STAGE
he debate over the automatic cuts parallels the presidential election duel over fiscal visions between President Obama and Mitt Romney.,ARGUMENT IS PHYSICAL COMBAT,ELECTION IS DUEL,ELECTION IS WAR,ELECTION IS A RACE
"At the same time, Myanmar is of vital strategic and economic importance to China and it clearly does not want to jeopardize its still delicate relationship with the junta by joining Western boycotts, condemnations and calls for the emergence of more democracy.",IMPORTANCE IS SIZE,DEMOCRACY IS EMERGENCE,DEMOCRACY IS A PLANT,DEMOCRACY IS A BUILDING
"Promissory Notes do â€“ if they are negotiable but if they're not attached to a property, and Congress encumbers an unencumbered property, it's clearly a taking.",CHANGE IN CONTROLLER IS TRANSFER OF POSSESSION,TAXATION IS THEFT,TAXATION IS THEFT,GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS THEFT 
"Poverty engenders a social environment characterized by hopelessness and disenfranchisement, leading to substance abuse and violence.",POVERTY IS A DISEASE,POVERTY IS ENGENDERS,POVERTY IS A DISEASE,POVERTY IS A DISEASE
Tax is necessary to fuel the engine of government.,GOVERNMENT IS A MACHINE,GOVERNMENT IS ENGINE,TAXATION IS A RESOURCE,GOVERNMENT IS A MACHINE
"A judicious use of the engine of taxation would, it might be thought, have a similar effect on the disposition of the people.",TAXATION IS A FORCE,TAXATION IS ENGINE,GOVERNMENT IS A MACHINE,TAXATION IS A FORCE
"The origins, evolutions, and engines of wealth : government, global leadership, and technology -- 4.",WEALTH IS A RESOURCE,WEALTH IS ENGINES,WEALTH IS A MACHINE,WEALTH IS A RESOURCE
"Wealth doesn't provide freedom for them, wealth enslaves them.",WEALTH IS PROTECTION AGAINST HARM,WEALTH IS ENSLAVES,TAXATION IS SLAVERY,WEALTH IS A RESOURCE
This does not permit an escape of taxation because the reserve is not an asset but a debt.,TAXATION IS A BURDEN,TAXATION IS ESCAPE,TAXATION IS A TRAP,TAXATION IS FORCEFUL REMOVAL OF A SUBSTANCE
"He commented further, ""When basic needs are provided by the government, democracy evaporates.""",GOVERNMENT ASSISTANCE IS A TRAP,DEMOCRACY IS EVAPORATES,DEMOCRACY IS A FLUID,DEMOCRACY IS A FACADE
This election will most certainly be the evil of two lessers.,DEGREE OF MORALITY IS PHYSICAL HEIGHT,ELECTION IS EVIL,EVIL IS DARK,ELECTION IS A RACE
he research suggests that we can no longer take for granted that that growing inequality is a necessary evil for a better economy.,INEQUALITY IS BEING ON DIFFERENT VERTICAL LEVELS,INEQUALITY IS EVIL,EVIL IS DARK,INEQUALITY IS BEING ON DIFFERENT VERTICAL LEVELS
It also witnessed the evolution of the Senate from agent of compromise to an elite club of powerful committee chairmen.,INSTITUTION IS A COMPLEX PHYSICAL OBJECT,SENATE IS EVOLUTION,GOVERNMENT INSTITUTION IS AN ORGANISM,GOVERNMENT IS A BUSINESS
"In a settled society, government exacts tribute from everyone that works or buys and sells.",TAXATION IS THEFT,GOVERNMENT IS EXACTS,TAXATION IS THEFT,GOVERNMENT IS A SLAVE MASTER
But even if it did the feminist exploitation of the bureaucracy scarcely justifies a distortion of the law as originally intended.,BUREAUCRACY IS A MACHINE,BUREAUCRACY IS EXPLOITATION,BUREAUCRACY IS A RESOURCE,CORRUPTION IS DECAY
The Muslim Brotherhood favored exploitation of democracy to destroy democracy; and Salifah,DEMOCRACY IS A FACADE,DEMOCRACY IS EXPLOITATION,DEMOCRACY IS A FACADE,DEMOCRACY IS A DISEASE
A sound tax policies based upon fairness rather than the exploitation of taxation to reward cronies would do much to restore the dollar in foreign markets.,TAXATION IS CAUSING HARM,TAXATION IS EXPLOITATION,TAXATION IS THEFT,TAXATION IS FAIRNESS
the mind is an eye.,MIND IS A SENSE ORGAN,MIND IS EYE,MIND IS A BODY,MIND IS A BODY
"It isn't the neocon fable of intravenous democracy, even if it kills the patient.",DEMOCRACY IS A PATIENT,DEMOCRACY IS FABLE,DEMOCRACY IS A FLUID,DEMOCRACY IS A FLAME
"That may also be termed an 'IRG-failure,' the failure of the Internationally Recognised Government of the given state.",OTHER,GOVERNMENT IS FAILURE,GOVERNMENT IS A MACHINE,GOVERNMENT IS A FAILURE
"...s by Jacques-Louis David (1787) Socrates. Many are familiar with the name, but do we know the man? He is considered to be the father of democracy and a pivotal character of Western civilisation, but it may equally be that he was largely an invention by Plato.",OTHER,DEMOCRACY IS FATHER,DEMOCRACY IS A PERSON,DEMOCRACY IS A PLANT
"The blood, sweat and tears of citizens of conscience working to make government better are the rain and fertilizer of democracy.",DEMOCRACY IS A PLANT,DEMOCRACY IS FERTILIZER,DEMOCRACY IS A PLANT,DEMOCRACY IS A GROWING OBJECT
Recession entertainment @ its finest. fight hunger by promoting a competitive eater.,OTHER,HUNGER IS FIGHT,HUNGER IS AN ADVERSARY,HUNGER IS A COMPETITION
the mind is a fighter.,OTHER,MIND IS FIGHTER,MIND IS A FIGHTER,MIND IS A FIGHTER
DONATE The Lobbyist Who Fights Democracy -- and Breast Milk,POLITICAL UNREST IS A BATTLEFIELD,DEMOCRACY IS FIGHTS,DEMOCRACY IS AN ADVERSARY,DEMOCRACY IS A LIVING ENTITY
"One anonymous wag once suggested that while a fine is a tax for doing something wrong, tax is a fine for doing something right!",TAXATION IS PUNISHMENT,TAX IS FINE,TAXATION IS PUNISHMENT,TAXATION IS A PUNISHMENT
"Democracy is a flame, It burns bright even when times are dark.",DEMOCRACY IS FIRE,DEMOCRACY IS FLAME,DEMOCRACY IS A PLANT,DEMOCRACY IS LIGHT
"And together, one vote at a time, a mighty river, a swelling ocean we call democracy floods across this nation as 120 million votes are cast for President.",AMOUNT OF VOTES IS A FLUID,DEMOCRACY IS FLOODS,DEMOCRACY IS A FLUID,DEMOCRACY IS A FLUID
This rate is an individual's tax floor.,TAXATION IS A FORCE,TAX IS FLOOR,TAXATION IS A BUILDING,TAXATION IS A BURDEN
The financial Manager prepares financial reports that reflect the financial health of the ban. along with this the Financial managers also monitor the flow of cash.,MONEY IS A RESOURCE,CASH IS FLOW,ECONOMY IS A BODY,FINANCIAL RESOURCES ARE PHYSICAL ENTITIES
Distance and Open Learning systems facilitate the transborder flow of education and educational opportunities.,ACCESS TO EDUCATION IS ACCESS TO AN OBJECT,EDUCATION IS FLOW,EDUCATION IS A RESOURCE,EDUCATION IS AN OBJECT
"They forget what can happen when they allow the free flow of firearms into public places, especially forms of transportation.",AMOUNT OF GUNS IS A FLUID,FIREARMS IS FLOW,GUNS ARE A FLUID,GUNS ARE A DISEASE
"In fact there was quite a steady flow of illegal guns and gun use, right up until the Japanese government increased prison sentencing for gang involvement AND for use of an illegal weapon to extremes.",INCREASE IN CRIME IS SPREAD OF DISEASE,GUNS IS FLOW,GUNS ARE A FLUID,GUNS ARE A NATURAL DISASTER
Most experts believe that increased criminal penalties of the kind proposed in the federal law could help play a role in stanching the flow of guns from traffickers to criminals.,GUN CONTROL IS PHYSICAL RESTRAINT,GUNS IS FLOW,GUNS ARE A FLUID,GUN CONTROL REGULATION IS A MOTION IMPEDIMENT
It is often lower than the return earned before retirement due to more conservative investment choices to help insure a steady flow of income.,OTHER,INCOME IS FLOW,MONEY IS A LIQUID,INVESTMENT IS A FLOW
"Whenever you think or say the word rosperity,a program will begin to run that will clear anything that is anchoring, supporting or creating blocks to accepting, allowing and aligning with the divine ideal flow of prosperity.",OTHER,PROSPERITY IS FLOW,WEALTH IS A LIQUID,PROSPERITY IS A FLOW
The issue is serious enough to question the longevity or continuance of an agency so vital to the smooth flow of taxation within the United States.,FUNCTIONAL LEGISLATURE IS A FUNCTIONING MACHINE,TAXATION IS FLOW,TAXATION IS A FLUID,TAXATION IS A FLOW
"To regulate internal Jewish affairs and ensure the steady flow of taxes, the Parthian, or Arsacid, rulers (247 bceâ€“224 ce) had appointed in approximately 100 ce an exilarch, or ""head of the [Jews in] exile""--who claimed more direct Davidic descent than the Palestinian patriarch--to rule over the Jews as a quasi-prince.",GOVERNMENT CONTROL IS VERTICALITY,TAXES IS FLOW,TAXATION IS A FLUID,TAXATION IS A FLOW
There will be a much larger flow of taxes going into the governmental coffers.,TAXATION IS A FORCE,TAXES IS FLOW,TAXATION IS A FLUID,TAXATION IS A FLOW
The smooth flow of international trade is critical to the functioning of the modern food industry.,INTERNATIONAL RELATIONS ARE INTERPERSONAL RELATIONSHIPS,TRADE IS FLOW,TRADE IS A FLUID,TRADE IS A FLOW
He was encouraged by the blossoming of the flower of democracy in Egypt and hoped there would a new government voted into power in Iran.,DEMOCRACY IS A PLANT,DEMOCRACY IS FLOWER,DEMOCRACY IS A PLANT,DEMOCRACY IS A FLOWER
"NEW: President Obama says gun law foes \willfully lied\""""",ARGUMENT IS WAR,GUN IS FOES,ADVOCATING GUN CONTROL IS ZEALOTRY,GUN CONTROL ADVOCACY IS PHYSICAL HARM
"It is disturbing so many true American patriots want to take their democracy football and leave the field because, by a democratic vote in spite of all the millions spent, their guy lost.",ELECTION IS A GAME,DEMOCRACY IS FOOTBALL,NATIONAL POLITICS IS A SPORTS FIELD,DEMOCRACY IS A SPORTS EVENT
"The success of the 2012 Neighborhood Council elections in the short time frame was due to the hard work and collaboration of the Department staff, especially the IEAs, and the Neighborhood Councils with the Mayor's Office, City Council, Chief Administrative Officer, Chief Legislative Analyst, Office of the Controller, Office of the City Attorney, and the Office of the City Clerk, who set a solid election foundation and assisted the Department during election preparations.",ELECTION IS A GAME,ELECTION IS FOUNDATION,EFFECTIVE GOVERNMENT INSTITUTION IS A STRONG BUILDING,ELECTION IS A COLLABORATION
Going hand-in-hand with building a secure and stable wealth foundation is maintaining a trusting and caring relationship.,TRUST RELATIONSHIPS ARE BUILDINGS,RELATIONSHIPS ARE COMPLEX STRUCTURES,RELATIONSHIPS ARE COMPLEX STRUCTURES,WEALTH IS A RELATIONSHIP
"Since taxation generates market distortions by affecting the demand for and supply of goods, an ideal tax will be one whose effect on consumers and producers is small.",TAXATION IS A FORCE,TAXATION IS IMPEDIMENTS TO MOTION,TAXATION IS A BURDEN,TAXATION IS A MARKET DISTORTION
the clouds were a glimmer of hope that rain might come.,EVENTS ARE OBJECTS,GOODNESS IS LIGHT,HOPE IS A LIGHT SOURCE,HOPE IS A GLIMMER
"It is also not the objective of firearm organisations who could only bother to protect sports, shooting, guns, training - promoting and glorifying guns.",GUNS ARE OBJECTS OF WORSHIP,GUNS ARE OBJECTS OF WORSHIP,GUNS ARE OBJECTS OF WORSHIP,GUNS ARE OBJECTS OF WORSHIP
"Democracy is not a god, democracy is a vehicle, a system, a possibility, and just like any structure, it has its dark side too, as we say in Arabic: ""adimoukratiyya laha anyab"", in this case, it becomes a god that devours his children !",DEMOCRACY IS A LIVING ENTITY,DEMOCRACY IS A VEHICLE,DEMOCRACY IS A VEHICLE,DEMOCRACY IS A VEHICLE
I don't believe that elections are God.,OTHER,ELECTIONS ARE COMPETITIVE SPORTS EVENTS,ELECTION IS A GOD,ELECTIONS ARE NOT GOD
The fact that the gun is a reverenced god can be seen in its manifold and apparently resistless powers.,GUNS ARE OBJECTS OF WORSHIP,GUNS ARE OBJECTS OF WORSHIP,GUNS ARE OBJECTS OF WORSHIP,GUNS ARE OBJECTS OF WORSHIP
A law license is a money making tool and poverty is the grease.,ECONOMIC RESOURCE IS A TOOL,POVERTY IS A DISEASE,POVERTY IS A DISEASE,POVERTY IS A GREASE
"He is an expert on trade policy, farm policy, civil liberties, and the growth of government.",OTHER,GOVERNMENT IS A PERSON,GOVERNMENT IS A BUSINESS,GOVERNMENT GROWTH IS A PROCESS
"And yes, if I were allowed to cash out right now, I know for a fact that I would have a whole lot more money growth from it when I'm old than what the government is doing with it.",TAXATION IS INVESTMENT,WEALTH IS A RESOURCE,GOVERNMENT ASSISTANCE IS A TRAP,WEALTH GROWTH IS A PROCESS
"They could have attacked the issue of judicial review head on, as Congress's proposed amendments had sought to do, but they chose not to, perhaps anticipating the public's attachment to the idea of the judiciary as the guardian of the Constitution.",GOVERNMENT IS A GUARDIAN,JUDGES ARE SPORTS REFEREES,JUDGES ARE SPORTS REFEREES,JUDICIARY IS A GUARDIAN
"The 2011 Civic Mission of Schools report, ""The Guardian of Democracy,"" raises major concern surrounding diminished civic learning in the United States and outlines six proven practices that can help restore the civic mission of schools.",EDUCATION IS A RESOURCE,GOVERNMENT IS A SHEPHERD,GOVERNMENT IS A POLICEMAN,DEMOCRACY IS A GUARDIAN
"We will not partake in an election to choose a new oppressor, a new custodian of capital, a new guardian of poverty.",GOVERNMENT IS A SLAVE MASTER,GOVERNMENT IS A SLAVE MASTER,ELECTION IS WAR,ELECTION IS A CHOICE
"As the GOP stands tall as the guardian of taxation for the nation's wealthy and guardian for corporate America, the party sacrifices programs that in the long run will help to make America strong and less dependent globally.",GOVERNMENT IS A SHEPHERD,GOVERNMENT IS A LEECH,GOVERNMENT IS A LEECH,GOP IS A GUARDIAN
evidence is a guide in the search.,OTHER,EVIDENCE IS A GUIDE IN THE SEARCH,EVIDENCE IS A GUIDE,EVIDENCE IS A GUIDE
the vegetation was supposed to be a jocular portrait by Gauguin of Madeleine the pears her breasts the dense flowers her hair,OTHER,IDEAS ARE PEOPLE,IDEAS ARE PEOPLE,VEGETATION IS A PORTRAIT
Perhaps our wealth harms us by skewing our perception of reality- causing us to lose touch with the normal needs of others less fortunate than us.,EXCESS WEALTH IS OBSCENE,EXCESS WEALTH IS DISGUSTING,EXCESS WEALTH IS DISGUSTING,WEALTH IS A SKEWED PERCEPTION
"Over the course of weeks, Emerald editorials went from praising the IFC as a haven of democracy to a waste of student time and money.",CHANGE OF STATE IS CHANGE OF POSSESSION,DEMOCRACY IS A FACADE,DEMOCRACY IS A FACADE,DEMOCRACY IS A HAVEN
I came back to this haven of taxation because I actually believe that I got something for my increased tax burden.,TAXATION IS A BURDEN,TAXATION IS A BURDEN,TAXATION IS A BURDEN,TAXATION IS A HAVEN
such ocean-going amphipods a kind of shrimp as Cystosoma which also has enormously expanded eyes looking like headlamps compared with its bottom-dwelling relatives,EXISTENCE IS VISIBILITY,MIND IS A CONTAINER,N/A,VISION IS A HEADLAMP
Orville also wrote his wife that he hoped hostilities between nations cease forever and democracy heals the mental scars of war.,DISEASE TREATMENT IS WAR,DEMOCRACY IS A PLANT,GOVERNMENT IS A DOCTOR,DEMOCRACY IS A HEALER
"We've been lulled into complacency by the notion that affluence breeds democracy, and democracy heals all rifts.",DEMOCRACY IS A HEALING AGENT,DEMOCRACY IS AN EQUAL PARTNERSHIP,GOVERNMENT IS A DOCTOR,DEMOCRACY IS A HEALER
This is a long way from the understanding of politics that used to dominate Chinese leaders' thinking â€“ the belief that wealth heals all wounds; that the Party could afford to ignore all criticism as long as it could provide prosperity.,WELL-BEING IS WEALTH,WEALTH IS PROTECTION AGAINST HARM,HEALTH IS VERTICALITY,WEALTH IS A HEALER
This has gone through the heart of the bureaucracy and emerged as policy.,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A MACHINE
anger is heat.,EMOTION IS HEAT,ANGER IS HEAT,ANGER IS HEAT,ANGER IS HEAT
Romney doesn’t have clue about the image he projects because he has no ability to empathize or he would have been sensitive to the image and it’s value in for states just getting into the heat of the voting.,KNOWING IS SEEING,INTENSITY OF ACTIVITY IS HEAT,ELECTION IS A RACE,EMPATHY IS A PERCEPTION
Gun-control hinders the ability of individuals to defend themselves and makes criminals out of people who aren't criminals.,GUN CONTROL IS PHYSICAL RESTRAINT,GUN CONTROL IS PHYSICAL RESTRAINT,GUN CONTROL IS PHYSICAL RESTRAINT,GUN CONTROL IS A HINDERANCE
"Know the reality, that wealth hinders entrance into the kingdom of God and living the Christian life and, thus, not many wealthy are saved.",WEALTH IS A BARRIER TO ACCESSING A LOCATION,IMPEDIMENTS TO ACTION ARE PHYSICAL IMPEDIMENTS TO MOTION,WEALTH IS A RESOURCE,WEALTH IS A HINDERANCE
"In short, the whole thing turned into a vast money hole into which the Pentagon poured billions.",GOVERNMENT DEBT IS OCEAN,MONEY IS A LIQUID,MONEY IS A LIQUID,MONEY IS A HOLE
"Dr McCartney who is a lecturer in human nutrition stated that CSO figures showed the poverty hole had widened substantially inside the last few several years, and it was highly probably that diets had also worsened because of this.",POVERTY IS A HOLE,POVERTY IS A PHYSICAL AFFLICTION,POVERTY IS A BOUNDED REGION,POVERTY IS A HOLE
"If the countries focus on improvement first, then Africa will gradually escape the poverty hole.",POVERTY IS A BOUNDED REGION,POVERTY IS A MOTION IMPEDIMENT,POVERTY IS A BOUNDED REGION,POVERTY IS A HOLE
"In Ethiopia, democracy is in its infancy and it must be nurtured along by its leaders.",DEMOCRACY IS A PLANT,DEMOCRACY IS A PLANT,DEMOCRACY IS A PLANT,DEMOCRACY IS INFANT
"Democracy is an infection that can take hold in the most historically unlikely of hosts including Japan , Korea, and well.. even Germany.",OTHER,DEMOCRACY IS A DISEASE,SOCIAL PROBLEMS ARE DISEASES,DEMOCRACY IS AN INFECTION
The unexpected invasion of poverty into the suburbs has revealed a huge hole in the social safety net.,POVERTY IS A FIERCE CREATURE,POVERTY IS A CRIME,POVERTY IS A PHYSICAL AFFLICTION,POVERTY IS A MOTION IMPEDIMENT 
An invasion of wealth may not suit their interests.,WEALTH IS A POSSESSION,WEALTH IS A RESOURCE,WEALTH IS A SUBSTANCE,WEALTH IS A SUBSTANCE 
In spite of the rain the earth was still as hard as iron,OTHER,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,N/A,DIFFICULTY IS HARDNESS 
"I can't remember a more tortuous election journey, where we have been subjected to repeated violence of speech and thought, outrage, anger, bold-faced lies and people talking past one another instead of to each other in a way that promotes understanding and respect.",ELECTION IS A JOURNEY,ELECTION IS WAR,ELECTION IS WAR,ELECTIONS ARE COMPETITIVE SPORTS EVENTS 
"That puts us that much further ahead in our wealth journey because he's got the experience, he's got great staff and he knows all the geography.",PROGRESSING THROUGH LIFE IS MOVING ALONG A PATH,LIFE IS A JOURNEY,WEALTH IS A JOURNEY,LIFE IS A JOURNEY 
Kill KC's proposed extra trash tax,TAXATION IS A BURDEN,TAXATION IS THEFT,TAXATION IS THEFT,TAXATION IS PUNISHMENT 
